SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
Walnuts,KG, MYR 35.90 ,,,,200 gram,1kg,1kg,,,,
Desiccated Coconut,KG, MYR 9.90 ,,,,200 gram,1kg,1kg,,,,
Cranberries,KG, MYR 24.90 ,,,,200 gram,1kg,1kg,,,,
Unsalted Butter (melted),KG, MYR 51.80 ,,,,1kg,2kg,2kg,,,,
Baking Powder,KG, MYR 15.60 ,,,,200 gram,1kg,1kg,,,,
Vanilla Extract (70g bottle),0.07, MYR 25.50 ,, MYR 364.29 ,,half bottle,half bottle,1 bottle,,,,
Icing Sugar,KG, MYR 5.80 ,,,,500 gram,1kg,1kg,,,,
Corn Starch (Korea),KG, MYR 4.00 ,,,,200 gram,1kg,1kg,,,,
COMPOUND Milk Choc,KG, MYR 22.50 ,,,,500 gram,1kg,2kg,,,,
COMPOUND white choc,KG, MYR 24.90 ,,,,500 gram,1kg,2kg,,,,
COMPOUND signature dark choc,KG, MYR 20.50 ,,,,500 gram,1kg,2kg,,,,
Pleated Cup (5x8cm) - Dark Brown 200PCS,1, MYR 0.07 ,,,,1 sleeve,1 sleeve,6 sleeve,,,,
Marshmallow (mini),KG, MYR 25.90 ,,,,200 gram,1kg,1kg,,,,
Self Raising Flour,KG, MYR 6.20 ,,,,2kg,4kg,10kg,,,,
,,,,,,,,,,,,
Almond Flake,KG, MYR 46.00 ,,,,,,,,,,
Sultana (Iran),KG, MYR 10.50 ,,,,,,,,,,
Black Currants,KG, MYR 20.80 ,,,,,,,,,,
Chia Seeds,KG,,,,,,500g,1kg,,,,
Rolled Oats,KG, MYR 5.90 ,,,,,,,,,,
Slivered Almonds,KG, MYR 45.80 ,,,,,,,,,,
Cashew Split (Sri Lanka),KG, MYR 45.00 ,,,,,,,,,,
Dried Apricot,KG, MYR 51.90 ,,,,,,,,,,
,,,,,,,,,,,,
HIGH FAT Cocoa Powder,KG, MYR 49.90 ,,,,,,,,,,
COVETURE Dark Chocolate Buttons,KG, MYR 100.00 ,,,,,,,,,,
COVETURE White Chocolate Buttons,KG, MYR 94.00 ,,,,,,,,,,
Freeze Dried Strawberries,KG, MYR 159.33 ,,,,,,,,,,
