Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.70,
,,,,Sale,MYR 7.00,
,,,,COGS %,53%,
,,,,Profit,MYR 3.30,
,,,,,,
Double Chocolate Cookie,Double Chocolate Cookie,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 5.00,
,,,,COGS %,60%,
,,,,Profit,MYR 2.00,
,,,,,,
Oat & Raisin Cookie,Oat & Raisin Cookie,1,pc,2.20,2.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.70,
,,,,Sale,MYR 4.50,
,,,,COGS %,60%,
,,,,Profit,MYR 1.80,
,,,,,,
Peanut Butter Cookie,Peanut Butter Cookie,1,pc,2.40,2.40,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.90,
,,,,Sale,MYR 5.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.10,
,,,,,,
Sea Salt Chocolate Cookie,Sea Salt Chocolate Cookie,1,pc,2.80,2.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.30,
,,,,Sale,MYR 5.50,
,,,,COGS %,60%,
,,,,Profit,MYR 2.20,
,,,,,,
White Chocolate Macadamia Cookie,White Chocolate Macadamia Cookie,1,pc,3.50,3.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.00,
,,,,Sale,MYR 6.50,
,,,,COGS %,62%,
,,,,Profit,MYR 2.50,
,,,,,,
Matcha Cookie,Matcha Cookie,1,pc,3.50,3.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.00,
,,,,Sale,MYR 6.50,
,,,,COGS %,62%,
,,,,Profit,MYR 2.50,
,,,,,,
Raspberry White Choc Cookie,Raspberry White Choc Cookie,1,pc,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.50,
,,,,,,
Red Velvet Cookie,Red Velvet Cookie,1,pc,2.80,2.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.30,
,,,,Sale,MYR 5.50,
,,,,COGS %,60%,
,,,,Profit,MYR 2.20,
,,,,,,
Blondie (White Choc Brownie),Blondie,1,pc,3.20,3.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.70,
,,,,Sale,MYR 6.50,
,,,,COGS %,57%,
,,,,Profit,MYR 2.80,
,,,,,,
Belgian Fudge Brownie,Belgian Fudge Brownie,1,pc,3.80,3.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.30,
,,,,Sale,MYR 7.50,
